id,nifti_path,y0,y1,y2,y3,y4
0,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00508/ses-20121124/sub-ctsr00508_ses-20121124_sequ-11_space-aligASL_ct.nii.gz,250.92706,246.69357,242.93185,246.29034,310.5488
1,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00123/ses-20160707/sub-ctsr00123_ses-20160707_sequ-29_space-aligASL_ct.nii.gz,543.2544,537.9745,498.70456,424.18375,523.0556
2,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00952/ses-20170219/sub-ctsr00952_ses-20170219_sequ-4_space-aligASL_ct.nii.gz,735.7592,590.78424,581.515,490.1202,618.4497
3,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00110/ses-20210119/sub-ctsr00110_ses-20210119_sequ-15_space-aligASL_ct.nii.gz,456.46545,289.3778,293.02658,388.48364,685.7763
4,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr01920/ses-20200414/sub-ctsr01920_ses-20200414_sequ-11_space-aligASL_ct.nii.gz,713.6631,651.33453,639.417,589.34784,688.0969
5,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr01215/ses-20150324/sub-ctsr01215_ses-20150324_sequ-30_space-aligASL_ct.nii.gz,737.47144,723.3588,702.2083,808.823,1070.3293
6,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00672/ses-20160823/sub-ctsr00672_ses-20160823_sequ-14_space-aligASL_ct.nii.gz,541.58215,498.31107,469.55566,419.60187,713.5556
7,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00029/ses-20120801/sub-ctsr00029_ses-20120801_sequ-15_space-aligASL_ct.nii.gz,366.1032,342.7318,313.38257,319.39325,419.15967
8,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr00478/ses-20200412/sub-ctsr00478_ses-20200412_sequ-15_space-aligASL_ct.nii.gz,515.5903,488.06674,493.83347,429.66653,556.6544
9,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr02646/ses-20171123/sub-ctsr02646_ses-20171123_sequ-15_space-aligASL_ct.nii.gz,920.5877,826.908,678.5864,918.3143,1436.7004
10,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr01675/ses-20141111/sub-ctsr01675_ses-20141111_sequ-15_space-aligASL_ct.nii.gz,838.12915,783.7721,712.6085,678.0098,827.2607
11,/mnt/8tb_slot8/jonas/datasets/CT_nofx/derivatives/sub-ctsr02259/ses-20071021/sub-ctsr02259_ses-20071021_sequ-27_space-aligASL_ct.nii.gz,583.85535,523.5963,471.3937,445.98276,672.1842
